id;produkt;kcal;bialko;weglowodany;tluszcze
520;Ogorki konserwowe - Dawtona;24;1;3.7;0.1
521;Komosa ryzowa - Quinoa (nieugotowana);368;14.1;64.2;6.1
522;Botwina (swieza);22;2.2;4.3;0.1
523;Fasola szparagowa zolta;31;1.8;7.1;0.1
524;Margaryna Flora;540;0.1;0;60
525;cwikla z chrzanem (buraki);44;1.6;8.1;0.1
526;Mieszanka mix Salat - Fit & Easy;14;1.6;1.5;0.1
527;Oliwki czarne;122;0.5;0;13.2
528;Serek z ziolami - Almette;230;6.8;5.6;20
529;Kielki brokula;57;5;6.9;0.5
530;Drozdzowka;371;6;51;16
531;Ogorki konserwowe kanapkowe - Nasza Spizarnia;44;0.3;9.7;0.1
532;Jajko sadzone na oleju;170;10;0.7;14
533;Ogorek konserwowy - Nasza Spizarnia;27;0.4;5.4;0
534;Cebula dymka ze szczypiorem (surowa);37;1.4;6.9;0.4
535;Kielki rzodkiewki;41;3.8;3.6;2.5
536;Mleko 3.2% tluszczu Mleczna Dolina - Biedronka;60;3;4.7;3.2
537;Krem czekoladowy Nutella;541;5.4;62.2;29.7
538;Ser zolty (pozostale);347;26;0;27
539;Placki ziemniaczane;231;3.6;21.8;14.5
540;Makaron z pszenicy durum (ugotowany);156;5.2;31.2;0.9
541;Grejfrut Pomelo;43;0.8;10;0.2
542;Pieczywo chrupkie zytnie - Tovago;351;9.9;72;0.9
543;Sos sojowy;27;3.8;2.7;0.1
544;Tunczyk w oliwie z oliwek;245;21;0.9;18
545;Twarog;90;19;3.5;0
546;Parowki Berlinki Classic - Morliny;251;12.9;2.7;21
547;Jogurt naturalny grecki;60;3.6;5.2;2.8
548;Jogurt naturalny typu greckiego o obnizonej zawartosci tluszczu - Tolonis;74;4.4;5.2;4
549;Bulion z kostki rosolowej;8;0.6;0.5;1
550;Jogurt naturalny typu greckiego 0% - Piatnica;51;8.7;4.1;0
551;Kakao (proszek) - Decomorreno;303;23.5;13;10.5
552;Kluski slaskie;155;2;36.6;0.1
553;Tost pszenny;293;9;54.4;4
554;Ketchup lagodny - Pudliszki;148;1;35;0
555;Chleb Kolodziej - Polish Village Bread;252;9.8;37.3;7.1
556;Wolowina (udziec);102;21;0;2
557;Szynka Klasyczna Sokolowska;93;17;1.5;2
558;Karkowka wieprzowa z grilla;389;23;0;33
559;Chleb chrupki zytni delikatesowy - Wasa;334;9;60;1.5
560;Twarog wiejski chudy - Mlekovita;96;20;3.5;0.2
561;Maslo Polskie - Mlekovita;746;1;1;82
562;Morele ;48;1.4;11.1;0.4
563;Cukinia gotowana;15;1.1;2.7;0.4
564;Herbatniki;439;8.2;76.8;11
565;Mieso mielone wolowe - Sokolow;254;17;0;20
566;Chleb pszenny;262;8.5;54.3;1.4
567;Rodzynki sultanskie Bakallino - Biedronka;292;2.3;64;1.5
568;Frytki z frytownicy;314;3.8;38;16
569;Powidla sliwkowe;218;1;53;0.2
570;Warzywa na patelnie;63;2.5;9.1;1.3
571;Rosol domowy;49;5.6;1.2;2.7
572;Miod wielokwiatowy;319;0.3;79.5;0
573;Pasztet z drobiu;149;21.9;1.4;5.7
574;Soczewica (ugotowana bez soli);116;9;20.1;0.4
575;Bulka orkiszowa;250;8;50;2
576;Figi suszone;249;3.3;63.9;0.9
577;Chleb zytni ze slonecznikiem na naturalnym zakwasie - Biedronka;257;6.4;43.4;5.6
578;Melon zolty;36;0.5;9;0.1
579;Szynka wieprzowa wedzona;120;16;1;6
580;Poledwica z indyka w plastrach - Morliny;89;16;0.8;1.9
581;Maggi (przyprawa do zup);17;2.7;1.5;0
582;Przyprawa wanilia laska;288;0.1;12.7;0.1
583;Fasola biala gotowana (bez soli);139;9.7;25.1;0.4
584;Grzyb Podgrzybek;49;3.6;4;0.5
585;Udo z kurczaka bez skory (pieczone);130;17.3;0.8;6.4
586;Wolowina (poledwica) surowa;127;22.3;0;3.5
587;Groszek mrozony (ugotowany bez soli);78;5.2;14.3;0.3
588;Olej z pestek winogron;884;0;0;100
589;Chleb pszenno zytni wiejski;227;6.8;47;1.2
590;Zupa krupnik;92;6.8;7.8;4.3
591;Ptasie mleczko;438;2.6;56.2;21.8
592;Jogurt naturalny lagodny 1.5% - Bakoma;63;5;7.3;1.5
593;Kawa Blonnik - Inka;294;2.6;49;0.1
594;Poledwica sopocka;111;19;1.3;3.3
595;Maka pszenna;332;11;63;2.3
596;Grahamka Lidl;265;9.5;48.8;2.1
597;Zupa pieczarkowa;65;1.6;8.1;2.8
598;Chleb pszenno zytni;203;5;44;1
599;Ser Salami;355;25.2;0.1;28.1
600;Sos winegret (ocet i olej);449;0;2.5;50.1
601;Tunczyk w sosie wlasnym (konserwa);103;24;0;0.8
602;Pepsi Cola;43;0.1;11;0
603;Musli;382;9.2;66.5;7.1
604;Ser zolty wedzony Krolewski - Sierpc;359;27;2;27
605;Kopytka;147;4;32.3;0.7
606;Ryz Basmati (nieugotowany);351;9;76;1.1
607;Nalesniki z serem;175;9.5;24.1;4.7
608;Bajgiel pelnoziarnisty;250;10.2;48.9;1.5
609;Kasza jeczmienna - Melvit;334;8.4;74.9;2.2
610;Bulka razowa z ziarnami slonecznika;222;7;41;4
611;Kefir naturalny 0% - Pilos;34;3.6;5;0
612;Groszek zielony (konserwa);68;4.5;11.4;0.8
613;Czekolada;535;7.7;59.4;29.7
614;Pierogi z miesem;205;11.9;17.1;10.1
615;Jablko gotowane (bez skorki);53;0.3;13.6;0.4
616;Jogurt naturalny - Tola;61;4.3;5.2;2.5
617;Szynka babci wedzona Biedronka;93;17;2;2
618;Ziemniaki pieczone;93;2.5;21;0.1
619;sliwki wegierki;46;0.7;11.4;0.2
620;Cukierek Michalek;518;10.8;48.6;30.7
621;Chipsy kukurydziane;488;6.2;63.8;22.8
622;Spaghetti z miesem i sosem pomidorowym;105;4;11;5
623;Schab (wedzony);136;25;0.6;4
624;Kielbasa slaska;214;17.9;0;16.1
625;Grapefruit czerwony (owoc);47;0.8;10.7;0.1
626;Ser Feta Favita poltlusty - Mlekovita;189;13;7.5;12
627;Kielbasa szynkowa;162;18;0;10
628;Tunczyk w sosie wlasnym - Amerigo;80;20;0;0.5
629;Kielbasa mysliwska;300;27.8;0;20
630;Chleb wiejski;243;5.3;52;1.1
631;Bulka pszenno-zytnia;280;9.8;58.2;2.1
632;grahamka biedronka;252;9;56.1;1.7
633;Platki Bran Flakes z otrab pszennych - Sante;379;13;79;2.8
634;Omlet dwujajeczny;154;10.6;0.6;11.7
635;Cukierki Krowki;398;4.2;76;10.2
636;Musztarda sarepska - Kamis;93;4.4;7.9;4
637;Piers z kurczaka bez skory smazona bez oliwy;175;30.4;0;4.4
638;Rosol;49;5.6;1.2;2.7
639;Kurczak (pieczona piers ze skora);197;30;0;8
640;Kurczak brojler (pieczony);153;27.1;0;5
641;Ser Gouda - Serovit;344;26;1.4;26
642;Szpinak ugotowany;23;3;3.8;0.3
643;Papryczka chilli;40;1.9;8.8;0.4
644;Kielbasa;214;17.9;0;16.1
645;Kaszanka;274;9;14.5;19.5
646;Groszek zielony;81;5.4;14.5;0.4
647;Mleko laciate 0.5% - Mlekpol;38;3.3;5;0.5
648;Chleb pelnoziarnisty - Lidl;210;5.8;38;1.8
649;Mleko wiejskie swieze 2% - Piatnica;50;3;5;2
650;Maslo Oselka - Sobik;750;0.7;0.4;83
651;Ser krolewski;347;26;1;27
652;Musli sniadaniowe z rodzynkami i orzechami laskowymi - Vitanella;369;11.2;61.8;8.1
653;Szynka wieprzowa pieczona z tluszczem;273;17.1;0.7;23
654;Mleko 1.5 % - Tesco;46;3.3;4.8;1.5
655;Platki jaglane blyskawiczne;356;11;65;4
656;Szynka wieprzowa konserwowa;96;14;2;3.5
657;Bob gotowany;110;7.6;19.7;0.4
658;Ryba smazona;232;15;17;12
659;Chleb Dobry zytni pelnoziarnisty - Schulstad;239;6.1;41.6;5
660;Warzywa na patelnie z ziemniakami - Mrozna Kraina;57;2.3;9.5;0.5
661;Maslanka;40;3.3;4.9;1
662;Piers z indyka bez skory (pieczona);140;30.1;0;2
663;Szynka (wedlina);135;17.1;0.9;7
664;Platki owsiane gorskie ekstra;367;11.9;62.4;7.2
665;Paczek z marmolada;340;5.9;39;18.7
666;Sezam;572;18;23;50
667;Winogrona;69;0.7;18.1;0.2
668;Kakao 10% (proszek) - Wawel;302;23;14;11
669;Twarog poltlusty Mazurski Smak - Mlekpol;119;17;3.7;4
670;Chleb orkiszowy ze slonecznikiem;290;9.1;47.4;8
671;Surowka z marchwi - Vital Fresh;91;1.6;8.2;5.3
672;Sok wyciskany z pomaranczy;45;0.7;10.4;0.2
673;Pasztet drobiowy Podlaski - Drosed;181;7;4;15
674;Brukselka;47;4.7;8.7;0.5
675;Piers z kurczaka (gotowana);151;32.9;0;2
676;Aromat spozywczy;376;50;45;0
677;Kefir naturalny - Robico;43;3.1;4.2;1.5
678;Przyprawa do kurczaka;210;12;25;4.5
679;Kurczak gotowany - Tarczynski;90;18;2.5;0.8
680;Odzywka Bialkowa WPC80;391;78;14.3;1
681;Kurczak (gotowany);136;14.5;0;8.8
682;Mleko migdalowe - Alpro;24;0.5;3;1.1
683;Koktajl proteinowy - Herbalife (proszek);346;27.5;38.7;10.2
684;Paczek;418;5.9;45.6;23.6
685;Serek smietankowy - Almette;230;7;6;20
686;zurawina - swieza;46;0.4;12.2;0.1
687;Papryka konserwowa;22;0.8;4.5;0.4
688;Majonez light - Hellmann's;280;0.6;9;27
689;Barszcz czerwony (gotowa zupa);18;0.1;4.1;0.1
690;Mleko odtluszczone w proszku;351;34;51;1.3
691;Sernik wiedenski;262;11.4;23.4;12.2
692;Fasolka po bretonsku;155;5.5;21.6;5.2
693;Beza;389;3.2;93;0.2
694;Szparagi;20;2.2;3.9;0.1
695;Paluszki (z sola);420;8.7;78.9;7.7
696;Leczo z kielbasa;83;5.9;6.6;4.1
697;Ser plesniowy Rokpol pelnotlusty;354;22.6;0;29.3
698;Bulka zytnia;310;10;53;5.3
699;Mieso mielone wieprzowe;264;21;0;20
700;Twarog chudy kostka - Biedronka;90;18;3.1;0.5
701;Twarog wiejski poltlusty - Piatnica;113;15.5;3.8;4
702;Ziemniaki puree (z maslem);132;5.1;11.3;7.6
703;Margaryna Smakowita z maslem;360;0.5;0.5;40
704;Chleb slonecznikowy - Lidl;260;7.9;39.2;6.6
705;Owsianka na mleku pelnotlustym (ugotowana);110;5;16;2.7
706;Pierogi z kapusta i grzybami;191;5;34.5;3.7
707;Surowka;93;1.2;9.2;5.2
708;Sos pesto zielony;411;4;3;42
709;Chleb zytni ze slonecznikiem - Just Fit;236;7.3;29.1;7.9
710;Serek homogenizowany waniliowy;100;5.2;13.3;2.8
711;Chleb zytni pelnoziarnisty na zakwasie - Oskroba;219;5.3;42;2.1
712;Jogurt Ale owoc! - Danone;94;3.9;15.3;1.8
713;Maslo orzechowe - EnerBIO;636;27.5;9.5;52
714;Surowka z kiszonej kapusty;73;0.8;12;2.8
715;Otreby owsiane - Sante;376;17.3;55.7;7
716;Ryz brazowy (nieugotowany) - Kupiec;354;7;77;2
717;Pasztet;325;22.1;0.9;25.5
718;Filet z kurczaka smazony w panierce;268;20;7.2;19.1
719;Bulion z kury;107;6.8;1.5;9.3
720;Majonez Kielecki;631;1.9;2.2;68
721;Parowki z szynki - Krakus;295;16;1.5;25
722;Kawa z mlekiem (4 lyzki mleka 0.5%);36;3.2;4.7;0.5
723;Poledwica sopocka Kraina Wedlin - Biedronka;97;18;1;2.6
724;Boczek wedzony;334;13;0.7;31
725;Sos pesto czerwony;302;4.6;8.8;26.7
726;Kielbasa z piersi kurczaka - Morliny;190;17.9;0.6;13
727;Parowka drobiowo - wieprzowa - Jedynka;221;13;0;19
728;Barszcz ukrainski;32;1.2;5.2;0.5
729;Maslo Extra - Mleczna Dolina;744;0.7;0.7;82
730;Chleb zytni razowy na zakwasie;196;1.2;41.5;4.7
731;Buraczki zasmazane;90;1.9;10.2;5.1
732;Surowka z buraczkow - Marwit;56;1.4;5.5;2.7
733;Syrop klonowy;260;0;67;0.1
734;Groszek i marchewka mrozone (gotowane bez soli);48;3.1;10.1;0.4
735;Ser Edam;357;25;1.4;27.8
736;Chleb Drwalski;280;9;54;4
737;Chleb pelnoziarnisty z siemieniem lnianym;191;5.3;29.2;3.4
738;Twarog Delikatny 0% naturalny - President;61;11;4.4;0
739;swiezy sok marchwiowy - Marwit;38;0.4;8.7;0.1
740;Poledwica drobiowa;125;22;2;4
741;Komosa ryzowa - Quinoa (ugotowana);120;4.4;21.3;1.9
742;Wino czerwone polslodkie;96;0;5.5;0
743;Dzem 100% owocow truskawka;141;0.5;33.4;0.3
744;Kielbasa szynkowa z kurczaka;111;16.2;0;5
745;Dorsz smazony;134;20;0;5.6
746;Jogurt typu greckiego z brzoskwinia i marakuja - Piatnica;100;6;10;4
747;Mleko 1.5% bez laktozy - Pilos;47;3.4;4.9;1.5
748;Przyprawa kolendra (ziarno);298;12.4;55;17.8
749;Fasola szparagowa (gotowana);33;2.1;6.8;0.2
750;Wafle kukurydziane ekstra cienkie (Good Food);379;9.6;75.8;2.6
751;Makaron pelnoziarnisty kokardki Farfalle (nieugotowany);357;15.2;68;1.3
752;Platki orkiszowe blyskawiczne pelnoziarniste - Melvit Szczytno;320;11.6;62.4;2.7
753;Golabki w sosie pomidorowym;116;7;11;5.4
754;zurek z biala kielbasa i jajkiem;109;5.4;4.9;7.9
755;Ser plesniowy lekki;187;22;0.5;11
756;Mleko ryzowe - Llidl;57;0.2;12;0.8
757;Kabanos wieprzowy;328;28;0;24
758;Salami;459;22;0.3;41
759;Mix salat z salata lodowa - Vital Fresh;18;0.8;2.4;0.1
760;Chleb IG o niskim indeksie glikemicznym - ProBody;288;12.2;40.8;7.8
761;Kasza bulgur (ugotowana);109;3.8;20.9;0.5
762;Kurczak (grillowany ze skorka);200;28.1;0;9.7
763;Chalka;332;7.8;59.8;7
764;Platki owsiane gorskie - Biedronka;363;13;60;5.7
765;Lody smietankowe;155;3.2;17.2;8.6
766;Kakao z mlekiem (rozpuszczone);77;3.5;10.7;2.3
767;Filet z piersi kurczaka (grillowany);123;22;0;4
768;Cukinia grilowana;54;1.2;3.3;4.8
769;Len mielony - Oleofarm;311;32;7;9
770;Chleb Slowianski - Biedronka;205;7;42;1
771;Filet wedzony z indyka;117;22;1;2
772;Wino biale polslodkie;82;0.1;3.1;0
773;Orzechy arachidowe;580;25.7;19.2;46.1
774;Olej migdalowy;884;0;0;100
775;Dzem;156;0.4;38;0.1
776;Jogurt naturalny typu greckiego - Tolonis;125;3.8;5;10
777;Makaron pelnoziarnisty Penne (ugotowany);157;6.9;30.9;0.6
778;Indyk (udo bez skory);144;19.5;0;6.7
779;Makaron (ugotowany);144;6;25;3
780;Chleb Delikatesowy - Schulstad;253;6.5;53;1.5
781;Kabanos;326;27.4;0;24.3
782;Papryka czerwona gotowana (bez soli);28;0.9;6.7;0.2
783;Kasza gryczana niepalona (gotowana);111;4.3;23;0.8
784;Soda oczyszczona;0;0;0;0
785;Czerwona fasola - Biedronka;102;8.1;12.3;0.6
786;Pesto zielone;401;4.7;7.6;38.6
787;zoltko jaja kurzego;314;15.5;0.3;28
788;Czekolada nadziewana;449;3.9;68.8;17.6
789;Chleb zytni z siemieniem lnianym i ziarnami slonecznika;257;7.2;40;6.5
790;Margaryna pro-activ - Flora;539;0.5;2.5;60
791;Lody;155;3.2;17.2;8.6
792;Olej kokosowy - Extra virgin (nierafinowany);900;0.3;0;98
793;Ryz brazowy naturalny;370;7.1;76.8;1.9
794;Poledwica drobiowa sopocka;93;20.4;0;1.2
795;Chleb wieloziarnisty pszenno-zytni na zakwasie;191;7.3;33.2;3.2
796;Kasza jaglana (niegotowana);346;10.6;69;3.8
797;Migdaly w platkach - Whole Foods - Tesco;604;20;7.6;52
798;Galaretka z kurczaka;50;6.3;0.2;2.6
799;Surowka z kapusty kiszonej - Grzeskowiak;73;0.8;12;2.8
800;Kawa z mlekiem (rozpuszczona);47;3;5;2
801;Chleb razowy bez substancji konserwujacych - Tesco;212;5.8;41.6;1.8
802;Piers z indyka (gotowana);106;24;0;1
803;Makowiec;311;6.7;44.8;11.8
804;Pizza;223;9.8;40.2;2.5
805;Pieczywo chrupkie;389;11;74;5
806;Platki jaglane (nieugotowane);71;2.4;12.8;1.3
807;Szynka surowa wieprzowa;180;16.5;4.2;10.3
808;Zupa grochowa;61;3.2;10;1.1
809;Szynka szwarcwaldzka - Lidl;234;26;1;14
810;Tortilla (placek);315;6.1;56;6.7
811;Chleb Domowy - Schulstad;269;7.4;54.8;1.5
812;Chleb razowy - Biedronka;235;6.8;30;7.6
813;Sos tabasco;12;1.3;0.8;0.8
814;Orzechy ziemne;650;24;22;50
815;Pasztet wieprzowo-wolowy;295;19;3.4;22
816;Wino biale polwytrawne;81;0;3.7;0
817;Kapusta (ugotowana);23;1.3;5.5;0.1
818;Makaron razowy (nieugotowany);318;13.9;61.2;1.9
819;Serek wiejski lekki - Delikate;83;11;3;3
820;Przyprawa Anyz;337;18;50;16
821;Herbata czarna (parzona);1;0.1;0.1;0
822;Jajecznica na masle z 2 jaj;216;12.7;1.4;18
823;Fasolka szparagowa zielona (mrozona) - Poltino;31;2.2;3.3;0.2
824;Frankfurterki;305;11.5;1.7;27.6
825;Bita smietana;257;3.2;12.5;22.2
826;Ser Gouda - swiatowid;335;23;0.1;27
827;Mix salat z salata lodowa;18;0.8;2.4;0.1
828;Szynka konserwowa - Krakus;114;17.4;2;4
829;Bulka kajzerka wieloziarnista - Lidl;288;11.2;48.3;5
830;Frytki ziemniaczane;252;3;33;12
831;Ogorek korniszon;35;1.2;6.4;0.5
832;Chleb zytni pelnoziarnisty razowy ze slonecznikiem;227;7.3;29;7.9
833;sledz w oleju;304;16.4;0;26.5
834;Pomidory w puszce krojone - Tesco;23;1.3;3;0.5
835;Frytki z piekarnika;172;2.7;28.7;5.2
836;Chleb chrupki;363;8.7;78.9;2.4
837;Tost z serem i szynka;251;13;30;8
838;szynka wieprzowa;253;17.1;0.9;20.3
839;Indyk pieczony;208;28.1;0;9.7
840;Pstrag pieczony;130;24.6;0;2.7
841;Musli tropikalne;370;8.9;68;6.8
842;Drozdze piekarskie swieze;116;11;12;0.3
843;losos grillowany;167;10;9;9
844;Barszcz czerwony domowy;61;2.1;6.5;3
845;Smalec;898;0;0;99.5
846;Piers z kurczaka gotowana na parze;151;32.9;0;2
847;Wafle ryzowe;243;8.9;43.5;4.6
848;Salata mix toskanska;23;1.5;3.1;0.2
849;Napoj energetyczny mental - Tiger;46;0;11;0
850;Bulka kajzerka wieloziarnista;289;11.2;48.3;5
851;Ser zolty z obnizona zawartoscia tluszczu Hit z Ryk - SM Ryki;237;28;1.7;13
852;Jajko sadzone bez tluszczu;166;14;1;12
853;Bulka sniadaniowa z ziarnami - Biedronka;310;11;49;6
854;Szynka z indyka - Biedronka;99;22;0.8;0.9
855;Sernik na zimno z owocowa galaretka;142;4.5;19.2;5.4
856;Ser Cheddar pelnotlusty;403;24.9;1.3;33.1
857;Serek z chrzanem - Almette;247;6;4;23
858;Jajka gotowane na twardo;155;12.5;1.1;10.6
859;Serek smietankowy do kanapek z czosnkiem - Delikate;243;6;3;23
860;Otreby zytnie;281;15;26;4.3
861;Jogurt naturalny kremowy 190g - Tola;70;4.4;6.3;3
862;Kielbasa zywiecka;324;20.3;0;26.3
863;Ser twarogowy chudy - Biedronka;101;20;4;0.5
864;Jogurt Jogobella 0% owoce lesne - Zott;43;4.3;5;0.1
865;Poledwica z kurczaka - szynka;98;20;0.9;1.2
866;Bulion warzywny (kostka);290;5.7;11;28
867;Przyprawa do kurczaka - Knorr;210;12;25;4.5
868;Przyprawa pieprz kolorowy;251;10.4;63.9;6.4
869;Mix salat z roszponka - Vital Fresh;16;1;1.5;0
870;Nasiona Chia - Intenson;486;17;42;31
871;Bulka grahamka z Biedronki;272;9;56.1;1.7
872;Bialko jaja kurzego;48;10.9;0.7;0.2
873;Twarog chudy - Cuiavia;91;20;2.2;0.2
874;Olej kokosowy - Bio Kokos;820;0;0;90.9
875;Mleko 2% Mleczna Dolina - Biedronka;48;3;4.6;2
876;Parowki Sokoliki - Sokolow;186;15.5;1.7;13
877;Paczek (z lukrem lub cukrem);426;5.2;50.8;22.9
878;Jogurt naturalny 0% - Bakoma;52;5.5;7.6;0
879;Chleb razowy - Polskie Zboza;253;8.2;51.2;1.6
880;Serek wiejski naturalny - Pilos;97;11;2;5
881;Sok malinowy - Hofer;43;0.5;11;0.5
882;Kawa 3w1 nescafe classic - Nestle;447;2.7;78;13
883;Ser Camembert;263;19.3;1.9;19.8
884;Gulasz wolowy;78;7.5;9.5;1.2
885;Olej sezamowy;900;0;0;100
886;Dorsz gotowany na parze;80;19;0;1
887;Czekoladki Merci;562;7.4;49.7;36.3
888;Dzem 100% owocow czarna porzeczka - lowicz;151;1;34;0.5
889;Baleron;171;13;0.9;13
890;Fasola biala Jas;135;10;26;0
891;Otreby;245;17;6.6;7
892;Murzynek (ciasto);427;7.7;45;24.4
893;Ser Edamski w plastrach;334;25;0.1;26
894;Majonez dekoracyjny - Winiary;704;1.5;2.9;76.3
895;Kawa Nescore - Nestle;54;3.5;5.1;2
896;Mintaj swiezy;92;19.4;0;1
897;Kisiel (po przygotowaniu);67;0.1;16.6;0.1
898;Sok marchwiowy;40;1;9.3;0.2
899;Ryz bialy dlugoziarnisty (nieugotowany) - Kupiec;353;7;79;1
900;Jogurt Activia pelne ziarna smakowy - Danone;100;3.6;15.4;2.5
901;Nalesniki z dzemem;199;6.3;35.2;3.8
902;Twarog Wiejski lekki 0% - Piatnica;90;19;3.5;0
903;Parowki;230;12;0.5;20
904;Ser Camembert;357;17;0.2;32
905;Ryba pieczona;124;21;0.3;3.6
906;Pstrag;141;19.9;0;6.2
907;Drozdzowka z serem;292;9.5;48.4;6.1
908;Tunczyk kawalki w sosie wlasnym - Amerigo;80;20;0;0.5
909;Sok jednodniowy jablkowo-buraczkowy - Viva Natura;38;0.6;8.6;0.5
910;Piwo zywiec;49;0.5;3.8;0
911;Chleb zytni na naturalnym zakwasie - Lidl;217;6;42;2.3
912;Winogrona ciemne;67;0.5;17.6;0.2
913;Kielbasa biala;264;13.9;0.1;22.8
914;Czekolada gorzka (60-69% zawartosci kakao);579;6.1;52.4;38.3
915;Buraczki duszone;81;1.6;13;3
916;Margaryna Daria lekka z Omega-3 - Mlekovita;270;0;0;30
917;Chleb wielozbozowy pelnoziarnisty;191;5.3;31;2.8
918;Sos pieczeniowy ciemny;37;1;6;1
919;Sok malinowy (syrop);213;0;53;0
920;Bulka grahamka - Biedronka;272;9;56.1;2
921;Ciecierzyca (gotowana bez soli);164;8.9;27.4;2.6
922;Szparagi ugotowane;22;2.4;4.1;0.2
923;Odzywka bialkowa Whey protein complex - Olimp;390;75;7.8;6.5
924;Bataty (slodkie ziemniaki);86;1.6;20.1;0.1
925;Musli z owocami - Sante;367;8.5;71.8;5
926;Kapusta biala zasmazana;72;1.3;5.8;4.9
927;Olej rzepakowy - Auchan;828;0;0;92
928;Jajecznica na boczku z cebula i pieczarkami;211;11.4;1;18
929;Chia - szalwia hiszpanska - nasiona Intenson;402;23;0.5;33
930;Dzem 100% Brzoskwinia;141;0.8;33.2;0.2
931;Zupa Zloty Kurczak (po przyrzadzeniu) - Vifon;72;1.3;9.1;3.3
932;Kielbasa wiejska;275;17;0;23
933;Herbata Torebki - Lipton;4;1;1;0
934;Kielbasa krakowska;168;20.1;0;9.7
935;Pieczywo chrupkie lekkie pszenne - Wasa;360;12;73;2.5
936;Mieso mielone z indyka;130;19;0.5;5.8
937;Nasiona Chia - Melvit;450;23;0.5;33
938;Kabanos drobiowy;538;24;4.8;47
939;Piwo Perla;49;0.5;4;0
940;Ciasto Tiramisu;387;5.3;41.1;22.3
941;Kielbasa grillowa z grilla;251;20.5;0;18.8
942;Kielbasa biala parzona;224;12;2.3;18.5
943;Piwo Lech Premium;41;0.4;2.7;0
944;sliwka duza;45;0.6;11.7;0.2
945;Bulka pelnoziarnista;306;10.9;47.7;6.8
946;Nasiona sezamu;573;18;23;50
947;Schab duszony bez kosci;197;25.2;0;10.2
948;Kielbasa z piersi kurczaka;190;17.9;0.6;13
949;Lody czekoladowe;216;3.8;28;11
950;Chleb mieszany ze slonecznikiem;247;6.1;46.3;4.3
951;Mleko 1.5% bez laktozy;47;3.4;4.9;1.5
952;Indyk duszony;143;23.9;8.5;2
953;Mleko 0.5% - Mlekovita;35;3;4.7;0.5
954;Boczek smazony;541;37;1.4;41.8
955;zurek;136;2;25.9;3.4
956;Sos pesto zielony;340;3.7;6.3;34.6
957;Mieszanka studencka;528;15.2;36;34.9
958;Pomidory krojone (puszka);35;1.2;7.5;0
959;Ananas kawalki w syropie;61;0.3;14.5;0.1
960;Leczo wegetarianskie;31;1.6;3.4;0.8
961;Ciasto drozdzowe z kruszonka;375;8.9;56.2;13.2
962;Pasta jajeczna;418;7;3;42
963;Kurczak (duszony);201;24.9;2;11.3
964;Chleb razowy - Lidl;241;8;47;1
965;Sok 100% czerwony grejfrut;39;0.5;9.2;0.1
966;Cydr jablkowy;47;0;7;0.2
967;Ziemniaki na parze;77;1.9;17.3;0.1
968;Sos bolonski z miesem - Pudliszki;70;3.6;7.2;3.3
969;Surowka z marchwi i jablka;47;0.7;10.5;0.2
970;Twarog Wiejski chudy - Piatnica;90;19;3.5;0
971;Czekolada z orzechami;540;13.1;49.7;33.5
972;Przyprawa Kminek;375;19.7;49.9;14.6
973;Platki owsiane z dodatkiem otrebow owsianych;361;18;45.6;7.7
974;Len mielony zloty odtluszczony - Sante;364;32;4;17.5
975;Schab wieprzowy (surowy);128;24;0.4;3.5
976;Parowki z szynki - Sokolow;283;13;1.5;25
977;Ciasto marchewkowe;268;4.8;28.3;14.9
978;Filet z indyka;102;24;0;0.7
979;Groszek z marchewka;34;2.2;4.5;0.5
980;Flaki wolowe (w rosole);36;4.9;1.5;1.2
981;Kompot wisniowy;69;0.2;16.9;0.1
982;Baton Fitness z truskawkami - Nestle;381;5.5;73.8;7.1
983;Oscypek;386;29;0;30
984;Serek homogenizowany o smaku waniliowym - Rolmlecz;138;7;15;5.5
985;Platki orkiszowe;327;12;63;3
986;Cukier trzcinowy - Demerara;399;0;99;0
987;Pstrag wedzony;127;20.6;0;4.7
988;Tunczyk w oleju - Ocean Rise;189;27;0.5;9
989;losos wedzony na zimno - Biedronka;188;20;0;12
990;Jablko pieczone;93;0.3;19;1.6
991;Pieczywo chrupkie original - Wasa;334;9;61.5;1.5
992;Anchois w puszce. z olejem;210;29;0;10
993;Kawa Cappuccino smietankowe;413;4.1;77.2;9.8
994;Serek ze szczypiorkiem i cebula - Almette;242;7;4;22
995;Bagietka pszenna;255;7.9;52.8;0.7
996;Limonka;30;0.7;10.5;0.2
997;Pieczywo chrupkie zytnie delikatess - Wasa;334;9;60;1.5
998;Trawa cytrynowa (surowa);99;1.8;25.3;0.5
999;Wafle ryzowe z amarantusem - Sante;372;8;77;3
1000;Tort biszkoptowy z bita smietana;281;5.2;31.3;15
1001;Sos pieczarkowy;33;1.1;1.9;2.3
1002;Parowka drobiowa;259;10.8;4.2;22.4
1003;Zupa kalafiorowa;63;5.7;4.7;2.7
1004;Pieczarki duszone z cebula;38;2;3;2
1005;Syrop z agawy;305;0;75;0.5
1006;Zupa fasolowa;69;5.2;7.9;2.1
1007;Ser kozi (polmiekki);364;21.6;2.5;29.8
1008;Wolowina (mieso bez kosci);232;18;0.4;17.6
1009;Piers z kurczaka (w ciescie. smazona);170;16.4;6;9
1010;Platki ryzowe;352;6.5;76;0.8
1011;Delicje (wisniowe);376;3.5;71.5;7.4
